ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_ICV,20.5338809034908,1215650.54502426,1252156.9443202,1324204.33958417,1425560.76413754,1539726.112394,1640142.94713486,1698971.99466047
MUSE_ICV,21.5338809034908,1214783.15692596,1251396.00291663,1323578.75057528,1424972.83882963,1539076.60163733,1639433.31614995,1698230.20847123
MUSE_ICV,22.5338809034908,1213915.05172066,1250634.87110396,1322953.44375758,1424385.08804033,1538427.07079928,1638723.72904361,1697488.55559245
MUSE_ICV,23.5338809034908,1213046.27946895,1249873.58018042,1322328.45137519,1423797.62177688,1537777.72788305,1638014.40959689,1696747.23232472
MUSE_ICV,24.5338809034908,1212176.83582723,1249112.13320292,1321703.77900915,1423210.43214117,1537128.54854296,1637305.33083078,1696006.21633541
MUSE_ICV,25.5338809034908,1211306.7267702,1248350.53918039,1321079.43774957,1422623.53144464,1536479.54704847,1636596.50699072,1695265.52097857
MUSE_ICV,26.5338809034908,1210435.95871759,1247588.80797656,1320455.43941992,1422036.93089847,1535830.73427053,1635887.94829122,1694525.15593341
MUSE_ICV,27.5338809034908,1209564.53748985,1246826.94888631,1319831.79525987,1421450.64104678,1535182.12032357,1635179.66416027,1693785.13010034
MUSE_ICV,28.5338809034908,1208692.47250877,1246064.97489896,1319208.52033853,1420864.67643868,1534533.7195173,1634471.66836567,1693045.45679435
MUSE_ICV,29.5338809034908,1207819.78533688,1245302.91139929,1318585.64255028,1420279.06499131,1533885.56008888,1633763.98904933,1692306.16394766
MUSE_ICV,30.5338809034908,1206946.50532154,1244540.79174274,1317963.19806173,1419693.84327446,1533237.67932907,1633056.66373415,1691567.28905544
MUSE_ICV,31.5338809034908,1206072.65783898,1243778.6452507,1317341.21883055,1419109.0433917,1532590.10979124,1632349.72498299,1690828.86453013
MUSE_ICV,32.5338809034908,1205198.30010469,1243016.53396139,1316719.77117176,1418524.73401762,1531942.92302212,1631643.24643872,1690090.96506997
MUSE_ICV,33.5338809034908,1204323.54387288,1242254.57595014,1316098.98026693,1417941.04650736,1531296.25740811,1630937.37216478,1689353.73786217
MUSE_ICV,34.5338809034908,1203448.51642868,1241492.90530406,1315478.98816294,1417358.13018587,1530650.27049678,1630232.26641986,1688617.35089205
MUSE_ICV,35.5338809034908,1202573.3446918,1240731.65583244,1314859.93672476,1416776.13427472,1530005.11981278,1629528.09352759,1687881.97227093
MUSE_ICV,36.5338809034908,1201698.22853811,1239971.03702686,1314242.04878748,1416195.29631406,1529361.05946104,1628825.12170306,1687147.87830724
MUSE_ICV,37.5338809034908,1200823.44729205,1239211.34085021,1313625.63549953,1415615.95022256,1528718.44895163,1628123.7325479,1686415.46339507
MUSE_ICV,38.5338809034908,1199949.28501993,1238452.86435028,1313011.01363646,1415038.4361387,1528077.65459216,1627424.31497206,1685685.12954273
MUSE_ICV,39.5338809034908,1199076.02437272,1237695.90331023,1312398.49886191,1414463.0931187,1527439.04155659,1626727.25673137,1684957.27760955
MUSE_ICV,40.5338809034908,1198203.94669655,1236940.75254267,1311788.4063318,1413890.26008822,1526802.97526698,1626032.94634077,1684232.3096037
MUSE_ICV,41.5338809034908,1197333.33229985,1236187.70607837,1311181.0507492,1413320.27574667,1526169.82110391,1625341.77253258,1683510.62795314
MUSE_ICV,42.5338809034908,1196464.46139333,1235437.0580307,1310576.74710657,1412753.4791858,1525539.94485854,1624654.12446608,1682792.6355269
MUSE_ICV,43.5338809034908,1195597.57552021,1234689.06272074,1309975.76828534,1412190.16403953,1524913.6630624,1623970.33869504,1682078.68062837
MUSE_ICV,44.5338809034908,1194732.80444837,1233943.85906026,1309378.26460477,1411630.49146943,1524291.14873108,1623290.59853991,1681368.95262644
MUSE_ICV,45.5338809034908,1193870.24801498,1233201.55511976,1308784.35368149,1411074.58730294,1523672.53659844,1622615.04644966,1680663.5985014
MUSE_ICV,46.5338809034908,1193010.00494715,1232462.25792418,1308194.15211489,1410522.57630905,1523057.96026763,1621943.8236835,1679962.76401198
MUSE_ICV,47.5338809034908,1192152.07168725,1231725.96909051,1307607.66506815,1409974.46371494,1522447.42491263,1621276.93523019,1679266.45402779
MUSE_ICV,48.5338809034908,1191296.29246637,1230992.5332666,1307024.73163802,1409430.07656142,1521840.74428889,1620614.18298041,1678574.46343672
MUSE_ICV,49.5338809034908,1190442.4993098,1230261.78248735,1306445.17750424,1408889.2274506,1521237.71664674,1619955.35237795,1677886.57012275
MUSE_ICV,50.5338809034908,1189590.51405486,1229533.53826221,1305868.81716337,1408351.71700154,1520638.12743917,1619300.21533924,1677202.5380046
MUSE_ICV,51.5338809034908,1188740.02537613,1228807.48481518,1305295.32013125,1407817.19097048,1520041.59661815,1618648.36874935,1676521.95027886
MUSE_ICV,52.5338809034908,1187890.63135765,1228083.21289583,1304724.25709713,1407285.18950487,1519447.63128251,1617999.29014205,1675844.26690587
MUSE_ICV,53.5338809034908,1187041.92931143,1227360.31232647,1304155.19756387,1406755.25139512,1518855.73710174,1617352.45554389,1675168.94628399
MUSE_ICV,54.5338809034908,1186193.53924248,1226638.39613332,1303587.73525853,1406226.94121246,1518265.44731815,1616707.37005961,1674495.47673946
MUSE_ICV,55.5338809034908,1185345.18512416,1225917.18413729,1303021.57616762,1405699.94333982,1517676.42323466,1616063.67382139,1673823.48558502
MUSE_ICV,56.5338809034908,1184496.62216426,1225196.42819962,1302456.45987542,1405173.97798438,1517088.36445833,1615421.04735667,1673152.64171614
MUSE_ICV,57.5338809034908,1183647.60695505,1224475.88153578,1301892.1272654,1404648.7666898,1516500.97204716,1614779.17273694,1672482.6156244
MUSE_ICV,58.5338809034908,1182798.00029688,1223755.40478372,1301328.43268387,1404124.15248588,1515914.0772882,1614137.86993921,1671813.22021589
MUSE_ICV,59.5338809034908,1181947.86960064,1223035.07170923,1300765.45581021,1403600.21975958,1515327.77016994,1613497.23288272,1671144.55129735
MUSE_ICV,60.5338809034908,1181097.30647062,1222314.98111014,1300203.30284882,1403077.08133189,1514742.17116063,1612857.38776698,1670476.73801886
